Signal Legend:

Key        Signal Name

0        = MemoryController:mem0|SRAMController:sramContr|dataReaded[0]
1        = MemoryController:mem0|SRAMController:sramContr|dataReaded[1]
2        = MemoryController:mem0|SRAMController:sramContr|dataReaded[2]
3        = MemoryController:mem0|SRAMController:sramContr|dataReaded[3]
4        = MemoryController:mem0|SRAMController:sramContr|dataReaded[4]
5        = MemoryController:mem0|SRAMController:sramContr|dataReaded[5]
6        = MemoryController:mem0|SRAMController:sramContr|dataReaded[6]
7        = MemoryController:mem0|SRAMController:sramContr|dataReaded[7]
8        = MemoryController:mem0|SRAMController:sramContr|dataReaded[8]
9        = MemoryController:mem0|SRAMController:sramContr|dataReaded[9]
10       = MemoryController:mem0|SRAMController:sramContr|dataReaded[10]
11       = MemoryController:mem0|SRAMController:sramContr|dataReaded[11]
12       = MemoryController:mem0|SRAMController:sramContr|dataReaded[12]
13       = MemoryController:mem0|SRAMController:sramContr|dataReaded[13]
14       = MemoryController:mem0|SRAMController:sramContr|dataReaded[14]
15       = MemoryController:mem0|SRAMController:sramContr|dataReaded[15]
16       = MemoryController:mem0|SRAMController:sramContr|process_1~0
17       = MemoryController:mem0|SRAMController:sramContr|read_buff[0]
18       = MemoryController:mem0|SRAMController:sramContr|read_buff[1]
19       = MemoryController:mem0|SRAMController:sramContr|read_buff[2]
20       = MemoryController:mem0|SRAMController:sramContr|read_buff[3]
21       = MemoryController:mem0|SRAMController:sramContr|read_buff[4]
22       = MemoryController:mem0|SRAMController:sramContr|read_buff[5]
23       = MemoryController:mem0|SRAMController:sramContr|read_buff[6]
24       = MemoryController:mem0|SRAMController:sramContr|read_buff[7]
25       = MemoryController:mem0|SRAMController:sramContr|read_buff[8]
26       = MemoryController:mem0|SRAMController:sramContr|read_buff[9]
27       = MemoryController:mem0|SRAMController:sramContr|read_buff[10]
28       = MemoryController:mem0|SRAMController:sramContr|read_buff[11]
29       = MemoryController:mem0|SRAMController:sramContr|read_buff[12]
30       = MemoryController:mem0|SRAMController:sramContr|read_buff[13]
31       = MemoryController:mem0|SRAMController:sramContr|read_buff[14]
32       = MemoryController:mem0|SRAMController:sramContr|read_buff[15]
33       = MemoryController:mem0|SRAMController:sramContr|read_buff~0
34       = MemoryController:mem0|SRAMController:sramContr|read_buff~1
35       = MemoryController:mem0|SRAMController:sramContr|read_buff~2
36       = MemoryController:mem0|SRAMController:sramContr|read_buff~3
37       = MemoryController:mem0|SRAMController:sramContr|read_buff~4
38       = MemoryController:mem0|SRAMController:sramContr|read_buff~5
39       = MemoryController:mem0|SRAMController:sramContr|read_buff~6
40       = MemoryController:mem0|SRAMController:sramContr|read_buff~7
41       = MemoryController:mem0|SRAMController:sramContr|read_buff~8
42       = MemoryController:mem0|SRAMController:sramContr|read_buff~9
43       = MemoryController:mem0|SRAMController:sramContr|read_buff~10
44       = MemoryController:mem0|SRAMController:sramContr|read_buff~11
45       = MemoryController:mem0|SRAMController:sramContr|read_buff~12
46       = MemoryController:mem0|SRAMController:sramContr|read_buff~13
47       = MemoryController:mem0|SRAMController:sramContr|read_buff~14
48       = MemoryController:mem0|SRAMController:sramContr|read_buff~15
49       = MemoryController:mem0|SRAMController:sramContr|read_buff~16
50       = MemoryController:mem0|SRAMController:sramContr|read_buff~17
51       = MemoryController:mem0|SRAMController:sramContr|read_buff~18
52       = MemoryController:mem0|SRAMController:sramContr|read_buff~19
53       = MemoryController:mem0|SRAMController:sramContr|read_buff~20
54       = MemoryController:mem0|SRAMController:sramContr|read_buff~21
55       = MemoryController:mem0|SRAMController:sramContr|read_buff~22
56       = MemoryController:mem0|SRAMController:sramContr|Selector17~0
57       = MemoryController:mem0|SRAMController:sramContr|Selector17~1
58       = MemoryController:mem0|SRAMController:sramContr|Selector18~0
59       = MemoryController:mem0|SRAMController:sramContr|SRAM_ADDR[0]
60       = MemoryController:mem0|SRAMController:sramContr|SRAM_ADDR[1]
61       = MemoryController:mem0|SRAMController:sramContr|SRAM_ADDR[2]
62       = MemoryController:mem0|SRAMController:sramContr|SRAM_ADDR[3]
63       = MemoryController:mem0|SRAMController:sramContr|SRAM_ADDR[4]
64       = MemoryController:mem0|SRAMController:sramContr|SRAM_ADDR[5]
65       = MemoryController:mem0|SRAMController:sramContr|SRAM_ADDR[6]
66       = MemoryController:mem0|SRAMController:sramContr|SRAM_ADDR[7]
67       = MemoryController:mem0|SRAMController:sramContr|SRAM_ADDR[8]
68       = MemoryController:mem0|SRAMController:sramContr|SRAM_ADDR[9]
69       = MemoryController:mem0|SRAMController:sramContr|SRAM_ADDR[10]
70       = MemoryController:mem0|SRAMController:sramContr|SRAM_ADDR[11]
71       = MemoryController:mem0|SRAMController:sramContr|SRAM_ADDR[12]
72       = MemoryController:mem0|SRAMController:sramContr|SRAM_ADDR[13]
73       = MemoryController:mem0|SRAMController:sramContr|SRAM_ADDR[14]
74       = MemoryController:mem0|SRAMController:sramContr|SRAM_ADDR~0
